configuracion,recall_medio,recall_desv,recall_minimo,segundos,pliegue_1,pliegue_2,pliegue_3,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_lambda,scale_pos_weight
37,0.3748738565641538,0.0167525290361533,0.355291576673866,23.76630187034607,0.3962136578769439,0.355291576673866,0.3731163351416516,235,0.0967279708873665,59,5,952,0.7587135308855554,0.9335361592900518,2.446515136250339,1.4987501974762731
29,0.3739333353175857,0.0216215119666319,0.3434125269978402,117.44108510017396,0.3908045977011494,0.3434125269978402,0.3875828812537673,1358,0.022447358971245,81,7,553,0.637469907131237,0.6186245437484,20.66454201865007,25.572272317594205
9,0.3728742113793106,0.026450224262062,0.33585313174946,38.808918476104736,0.3867478025693036,0.33585313174946,0.3960216998191682,720,0.0734033595427046,102,4,906,0.6056319290860338,0.5704621124873813,6.162586615353726,5.333420128193771
14,0.3721104590920696,0.0288443281958542,0.3315334773218142,49.74024748802185,0.3887762001352265,0.3315334773218142,0.3960216998191682,430,0.0563103098140985,123,8,456,0.9771414282231924,0.7816377859881918,12.013849374287174,3.1842508675065853
4,0.3698714435568379,0.018048684745447,0.345572354211663,98.06579422950745,0.3752535496957404,0.345572354211663,0.3887884267631103,1497,0.0542219506245937,18,4,216,0.7541666010159664,0.9299702033681604,76.63082680255852,24.85039046080664
6,0.368405970413622,0.0118726240507608,0.355291576673866,76.38053917884827,0.3840432724814063,0.355291576673866,0.3658830620855937,1221,0.0157277199806324,20,7,51,0.6125253169822235,0.6955303037866204,2.6054534945804004,25.483703786459927
11,0.3656556978612686,0.0123277244309107,0.3498920086393088,47.127305030822754,0.3799864773495605,0.3498920086393088,0.3670886075949367,702,0.0305519362071408,37,4,97,0.8365191150830908,0.9250192888948996,21.761183209050422,44.624197964618574
16,0.3631801124808042,0.013026636673363,0.3488120950323974,131.87681221961975,0.3603786342123056,0.3488120950323974,0.3803496081977094,1454,0.0281507340932874,76,9,380,0.7708431154505025,0.6092202186084168,1.6599837974449216,3.669636406883332
20,0.3618012600227507,0.0135190318819659,0.3434125269978402,71.76156377792358,0.3664638269100744,0.3434125269978402,0.3755274261603376,1353,0.0235718907414527,67,4,452,0.6968221086046001,0.5165253664502742,9.525889086580769,276.4239633707394
5,0.3617854705959928,0.0198913545593264,0.3401727861771058,90.65969228744508,0.356997971602434,0.3401727861771058,0.3881856540084388,1155,0.0177490979635916,85,7,416,0.6693458614031088,0.5079831261101071,16.595613641357254,115.85767933179793
3,0.3591391067757161,0.0064683080008386,0.3520518358531317,109.83746576309204,0.3576741041244083,0.3520518358531317,0.3676913803496082,1157,0.0248525428089394,65,9,736,0.786705157299192,0.6460723242676091,5.82001337270985,272.63532463610534
32,0.3586280513351089,0.019591792000804,0.3347732181425486,79.2707405090332,0.3583502366463827,0.3347732181425486,0.3827606992163954,1443,0.0497257791276197,44,4,221,0.7480634801021777,0.5121579832157269,80.88298191148203,184.5992899481122
2,0.3571988593237495,0.0153522675655898,0.33585313174946,92.16423201560974,0.3644354293441514,0.33585313174946,0.3713080168776371,947,0.0212976910551017,103,9,302,0.6557975442608167,0.5917022549267169,3.823475224675185,32.781876533976146
30,0.3550847745743828,0.0149009562505617,0.3347732181425486,30.997111797332764,0.3603786342123056,0.3347732181425486,0.3701024713682941,237,0.0193286455318365,116,9,719,0.8524554503989051,0.6838579015297168,6.112170343513631,162.0718098987322
15,0.3538949221047743,0.0177784582642367,0.3326133909287257,87.19432425498962,0.3529411764705882,0.3326133909287257,0.376130198915009,881,0.0562080954274067,59,7,627,0.782613828193164,0.799432733244268,3.901821268272623,1.825248807094868
18,0.3524264864909938,0.0053406061115663,0.3475321162947938,174.21881937980652,0.3475321162947938,0.3498920086393088,0.3598553345388788,1456,0.0223251580892614,66,11,521,0.9849789179768444,0.9714548519562596,5.33653306637961,255.40068166613503
19,0.3515753160150006,0.0105591438058903,0.3434125269978402,66.66284990310669,0.3448275862068966,0.3434125269978402,0.3664858348402652,1151,0.0344049762340229,95,4,662,0.7644148053272926,0.6258911479126821,3.416347415306914,262.5389021099412
38,0.3479442179124934,0.0093105913460329,0.3369330453563715,90.2991783618927,0.3597025016903313,0.3369330453563715,0.3471971066907776,1033,0.0905358533837644,46,10,141,0.786239207252984,0.5253842655196985,14.34036752877273,1.2275335488860937
