experimento,fecha,commit,dataset,n_predictores_dataset,n_variables,derivadas,conjunto,anio_validacion,anios_train,gap_train_val,mejor_iteracion,modelo,modulo_negativos,resto_negativos,segundos,test_evaluado,train_roc_auc,val_brier_score,val_fpr_achieved,val_lift_vs_azar,val_n_positives,val_n_rows,val_pr_auc,val_prevalence,val_recall_at_fpr5,val_recall_at_top1%_daily,val_recall_at_top1%_daily_ci90_high,val_recall_at_top1%_daily_ci90_low,val_recall_ci90_high,val_recall_ci90_low,val_roc_auc,val_threshold_at_fpr
v1_top30,2026-08-26 16:57,81dab96+sucio,egif_v0_54vars,54,30,True,top30,2022,2019-2020-2021,0.0122510827053391,,logistic_regression,25,0,31.4,False,0.8554929700529302,0.0001534694013476,0.0500000647985791,4.916951851532411,1659,10804365,0.0007549932940707,0.0001535490517027,0.2911392405063291,0.0349608197709463,0.0427968655816757,0.0277275467148884,0.3104279686558167,0.2730560578661845,0.8432418873475911,0.8266709744930267
v1_top30,2026-08-26 16:57,81dab96+sucio,egif_v0_54vars,54,30,True,top30,2022,2019-2020-2021,0.1369923529752325,,random_forest,25,0,232.4,False,0.9859546395300086,0.0001534629036516,0.0500000647985791,5.447767980452165,1659,10804365,0.0008364996072948,0.0001535490517027,0.3200723327305605,0.0421940928270042,0.050632911392405,0.0343580470162748,0.3405666063893912,0.3025617842073538,0.8489622865547761,0.4716123417019844
v1_top30,2026-08-26 16:57,81dab96+sucio,egif_v0_54vars,54,30,True,top30,2022,2019-2020-2021,0.0430387423764544,512.0,xgboost,25,0,78.2,False,0.9114979977742772,0.0001534272104764,0.0499999722291803,8.136119848699032,1659,10804365,0.0012492934873073,0.0001535490517027,0.3839662447257383,0.0602772754671488,0.0699216395418927,0.050632911392405,0.403887884267631,0.3634418324291742,0.8684592553978228,0.0150580452755093
v2_dataset47,2026-08-26 17:16,81dab96+sucio,egif,47,47,False,(todas),2022,2019-2020-2021,0.0806936886053077,631.0,lightgbm,25,0,78.7,False,0.9508922410670522,0.0001533795252329,0.0499999722291803,11.612332851663384,1659,10804365,0.0017830626974291,0.0001535490517027,0.3936106088004822,0.0783604581072935,0.0898131404460518,0.0669077757685352,0.4135021097046413,0.373719107896323,0.8701985524617444,0.0136029291898012
v2_dataset47,2026-08-26 17:16,81dab96+sucio,egif,47,47,False,(todas),2022,2019-2020-2021,0.0166897341025487,,logistic_regression,25,0,24.6,False,0.8531436034359982,0.000153470901177,0.0499999722291803,4.9463421287558855,1659,10804365,0.0007595061432676,0.0001535490517027,0.2827004219409282,0.0379746835443038,0.0458107293550331,0.0307414104882459,0.3013863773357444,0.2640144665461121,0.8364538693334495,0.8058367967605591
v2_dataset47,2026-08-26 17:16,81dab96+sucio,egif,47,47,False,(todas),2022,2019-2020-2021,0.138849505695533,,random_forest,25,0,238.1,False,0.9882470344247184,0.0001534603530519,0.0499999722291803,5.543389893528813,1659,10804365,0.0008511822613697,0.0001535490517027,0.3122362869198312,0.0452079566003616,0.053044002411091,0.0373719107896323,0.3315250150693188,0.294755877034358,0.8493975287291855,0.4598907828330993
v2_dataset47,2026-08-26 17:16,81dab96+sucio,egif,47,47,False,(todas),2022,2019-2020-2021,0.0438130508190016,581.0,xgboost,25,0,76.7,False,0.9123955578795828,0.0001534152913156,0.0499998796597815,8.987650632553695,1659,10804365,0.0013800452316639,0.0001535490517027,0.3881856540084388,0.0717299578059071,0.0825798673899939,0.0614828209764918,0.4080771549125979,0.3688969258589512,0.8685825070605813,0.0144962267950177
v2_derivadas61,2026-08-26 17:24,81dab96+sucio,egif,47,61,True,(todas),2022,2019-2020-2021,0.082875947501699,607.0,lightgbm,25,0,91.7,False,0.9545673250325996,0.0001533890611305,0.0499999722291803,10.80351136677252,1659,10804365,0.0016588689254274,0.0001535490517027,0.3905967450271247,0.0747438215792646,0.0861965039180229,0.0650994575045208,0.4122965641952983,0.371880650994575,0.8716913775309006,0.0143634127452969
v2_derivadas61,2026-08-26 17:24,81dab96+sucio,egif,47,61,True,(todas),2022,2019-2020-2021,0.0155965139589188,,logistic_regression,25,0,39.6,False,0.8597345613599721,0.0001534625423026,0.0499999722291803,5.571380167948471,1659,10804365,0.0008554801414637,0.0001535490517027,0.3164556962025316,0.0409885473176612,0.0500301386377335,0.0331525015069318,0.3351717902350813,0.2977697408077155,0.8441380474010532,0.8244215250015259
v2_derivadas61,2026-08-26 17:24,81dab96+sucio,egif,47,61,True,(todas),2022,2019-2020-2021,0.1378877858358944,,random_forest,25,0,297.8,False,0.9882672580220044,0.0001534609214455,0.0499999722291803,5.434145894918235,1659,10804365,0.0008344079489788,0.0001535490517027,0.3146473779385171,0.0349608197709463,0.0427968655816757,0.0277275467148884,0.3351416515973478,0.295961422543701,0.85037947218611,0.4483834505081177
v2_derivadas61,2026-08-26 17:24,81dab96+sucio,egif,47,61,True,(todas),2022,2019-2020-2021,0.0326190845042169,208.0,xgboost,25,0,53.1,False,0.8965228537342511,0.0001534250723403,0.0499999722291803,8.157694527392126,1659,10804365,0.0012526062587614,0.0001535490517027,0.3622664255575648,0.0675105485232067,0.077757685352622,0.0572634116937914,0.3815551537070524,0.3441832429174201,0.8639037692300342,0.0138868419453501
