configuracion,recall_medio,recall_desv,recall_minimo,segundos,pliegue_1,pliegue_2,pliegue_3,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,scale_pos_weight,subsample
29,0.38311541446512876,0.017345319884582912,0.3596112311015119,47.9,0.400946585530764,0.3596112311015119,0.3887884267631103,0.5077283082644337,0.10042087081421903,3,18.703753458105485,806,7.777856590163644,50.818157035557824,5.362726012764433,0.7540390914407701
22,0.380694130188639,0.012566140975342819,0.36393088552915764,18.8,0.39418526031102097,0.36393088552915764,0.38396624472573837,0.587477463547968,0.11479888146992044,6,16.547861144770238,201,9.74453453885926,85.27833305781814,24.15241599750763,0.9530545372757359
31,0.3803201005648858,0.01392321934734478,0.36069114470842334,69.9,0.39148073022312374,0.36069114470842334,0.3887884267631103,0.9950269250521316,0.01416367791054352,5,4.780490961301536,984,3.5156803756458457,1.8760424576299277,57.02410768528659,0.8211279907631631
26,0.3793997334487731,0.00920943016105841,0.36825053995680346,64.5,0.39080459770114945,0.36825053995680346,0.3791440626883665,0.8720852615282811,0.05998253909980811,3,17.717455243839467,1154,0.12680822080429408,3.391600849438614,4.021535729341342,0.9892042219009782
16,0.37725203207457686,0.014278147877335012,0.36069114470842334,39.6,0.39553752535496955,0.36069114470842334,0.3755274261603376,0.5841455210864652,0.017222105410550883,3,8.496482024526731,641,7.715105777813049,3.188339735100187,17.050803239790007,0.7203513239267079
8,0.37680127705992733,0.013703551050386724,0.36069114470842334,79.2,0.39418526031102097,0.36069114470842334,0.3755274261603376,0.6481367528520412,0.01507832087942244,3,186.57628587792436,1352,0.039459088111000004,1.0257563974185648,104.71209213501692,0.8827429375390468
25,0.3763715132904286,0.013337888003041169,0.35853131749460043,34.5,0.37998647734956054,0.35853131749460043,0.39059674502712477,0.7743668946832931,0.05580592634777072,7,3.2813337705313903,360,0.01132990036882279,9.722712197452008,2.7731000191816704,0.7465875138331439
23,0.3757113717717265,0.008675266382047199,0.36393088552915764,93.3,0.3786342123056119,0.36393088552915764,0.3845690174804099,0.5943535541706897,0.01999644227510753,5,46.8215506403832,1354,3.7065757121099994,6.441933751482511,158.16638219700664,0.9403713795070051
28,0.37162219148030734,0.01613151009896379,0.3488120950323974,79.7,0.38269100743745776,0.3488120950323974,0.3833634719710669,0.7495966899423762,0.041428213379149474,3,1.259892778776678,1395,6.627897035983006,80.88298191148203,184.5992899481122,0.7480634801021777
18,0.3715965067592835,0.010545282600395266,0.357451403887689,105.3,0.3745774171737661,0.357451403887689,0.38276069921639544,0.5724474360456115,0.03374490732182951,8,3.605590828517547,1035,0.017480746666538233,5.486670911103223,3.9797842608501353,0.9212559025519583
11,0.3666024508149717,0.014977923636037331,0.34557235421166305,116.8,0.3793103448275862,0.34557235421166305,0.37492465340566605,0.8803925243084487,0.04033850749129072,9,3.8834783791849485,994,0.3699972431463809,7.16278699989734,1.1560224259168135,0.6431565707973218
13,0.3646805301011291,0.01733041742289792,0.34233261339092874,86.0,0.3671399594320487,0.34233261339092874,0.3845690174804099,0.5384899549143964,0.020544441240915437,8,106.1653773649916,881,2.6568139241144926,18.484491720988622,144.11644831969477,0.9214688307596458
1,0.3639892040794724,0.0073334726686193575,0.3542116630669546,61.2,0.37187288708586885,0.3542116630669546,0.36588306208559374,0.8005575058716043,0.058094985386619696,8,1.3483565073257977,543,3.142880890840109,2.65875439832727,2.8209961335144906,0.6733618039413735
20,0.36363259850076207,0.009853785971360805,0.34989200863930886,31.8,0.3684922244759973,0.34989200863930886,0.37251356238698013,0.9291794024068599,0.022478572993815626,6,1.0918653698967058,346,0.11117265099859656,1.5572312204961867,213.69293747641132,0.759028808435009
24,0.3627245588007904,0.0030892339085364733,0.35853131749460043,109.9,0.36375929682217717,0.35853131749460043,0.36588306208559374,0.9678174971104738,0.07039225896931219,6,21.685894168867392,1335,0.020156477059365012,21.23261760236048,1.0292909562864097,0.6643232205669994
12,0.35933493439837133,0.007187651243271887,0.3542116630669546,56.7,0.35429344151453684,0.3542116630669546,0.36949969861362264,0.5157145928433671,0.048618569963389875,6,19.774885928261966,684,0.05595986878006084,6.61859559718348,74.40322909623879,0.6915192661966489
9,0.35565176573724994,0.004827747641958776,0.351416515973478,111.1,0.36240703177822853,0.3531317494600432,0.351416515973478,0.8645035840204937,0.06797363478611679,7,135.34621231243992,1217,0.022264204303769682,53.236175947514994,34.99331111708851,0.7323592099410596
7,0.35352678661351283,0.006844925874767797,0.3444924406047516,135.3,0.36105476673427994,0.3444924406047516,0.3550331525015069,0.9805860121746746,0.08154645595302654,7,4.210971105328151,1276,0.5757759187507041,85.21393381383606,31.893151603635232,0.7103996728090174
